(0.5300926467,0.8495667204)
(0.9998737285,-0.03862524145)
(0.9455310521,0.3255390512)
(-0.922725178,0.3874798344)
(-0.9892070893,-0.1455064774)
(0.540530994,0.8426417763)
(-1.000057566,-0.0004810716289)
(1.079276923,0.313760264)
(1.119401296,-0.1589839217)
(1.12994573,0.0358086178)
(0.9310681459,0.3842559976)
(0.7952187358,0.4816049181)
(0.9489538286,-0.4425836686)
(1.035073384,-0.3496823556)
(1.014783342,-0.0421804946)
(0.9076763887,0.1403011764)
(0.8683181885,-0.2889638427)
(0.8660802786,-0.1088556151)
(0.8419839759,0.2548914585)
(0.8126647525,-0.4397257715)
(0.9818124946,-0.06775749518)
(0.9062579018,0.3938603347)
(1.039848571,-0.3423494641)
(1.10356826,0.04493846171)
(0.9101109005,0.2946895841)
(1.007647666,-0.380023875)
(0.4669730549,0.8846036066)
(-0.1948454119,-0.984382457)
(-0.8049677245,0.5923147798)
(0.1100073505,-0.9910124144)
(-0.5456868491,0.8404541949)
(1.000095223,0.001241668177)
(0.2991878418,-0.9532755447)
(-0.8566432901,-0.525747627)
(0.3258390273,-0.9463014514)
(-0.9828298458,0.1357543649)
(0.5933626849,-0.8070228846)
(-0.05747345544,-0.9956202525)
(-0.4855529804,0.8757752678)
(-0.7523666811,-0.6600096884)
(0.6692854004,-0.7351256584)
(0.9874156393,0.157871916)
(0.05029220316,-0.9942524979)
(-1.004071354,-0.05936681432)
(0.9689598402,0.2424441757)
(0.7003770343,-0.7094360248)
(0.335060711,-0.9440528143)
(-0.5306627843,0.8501384882)
(0.2064267439,-0.9783404176)
(0.8489118274,-0.5345372496)
(0.06240679342,-0.9940971607)
(-0.624918268,-0.7818409089)
(-0.8431192961,-0.5348229457)
(0.8699001867,0.4918774012)
(0.9917123038,-0.1459600021)
(-0.3240545441,0.9482608702)
(0.9505740715,-0.3244922707)
(0.813647722,0.5797467516)
(-0.5695169604,0.8217887384)
(-0.7244910236,0.6891209388)
(0.0437660563,-0.9993852221)
(-0.6900957299,-0.722254452)
(0.7838195472,-0.620493264)
(0.9969078712,0.06777704857)
(0.368485096,-0.9310831727)
(-0.7872284828,0.6166479312)
(0.7620165994,-0.6465278018)
(0.4177670083,-0.9078527504)
(0.4351065237,0.8999987467)
(0.9313288696,0.3654781205)
(-0.005034783314,0.999631457)
(-0.9711586538,0.2376433222)
(0.1070917876,0.993719747)
(0.3363660926,-0.9383954481)
(0.928213692,-0.370006439)
(-0.5621464452,-0.8308338529)
(0.6308991331,-0.7738755644)
(0.8756155477,-0.4886738466)
(0.9829139947,0.1807759369)
(0.9726783223,-0.2409433441)
(-0.9186417724,-0.3931571339)
